text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
#BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;137;;2020-09-11 21:15:26;FALSE;;1304529006755278850;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;la_Biennale;42;FALSE;FALSE;;
#MayaHawke chose a Versace total look for the #VeniceFilmFestival. The actress styled a #VersaceFW20 top with a pri… https://t.co/4RJfHfQkt3;FALSE;265;;2020-09-11 10:14:13;TRUE;;1304362606740865025;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;Versace;20;FALSE;FALSE;;
#BiennaleCinema2020 #Venezia77 #InBetweenDying #HilalBaydarov: “I started to ask myself who I was when I was 7 year… https://t.co/8e42EHDgq0;FALSE;65;;2020-09-11 10:37:20;TRUE;;1304368421312884736;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;la_Biennale;27;FALSE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 23:57:52;FALSE;;1304569884777615360;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;wakywacko;162;TRUE;FALSE;;
I was working for our film so did not get any time to see any other film in #Venezia77 unfortunately, but these two… https://t.co/NpAfChPFLw;FALSE;0;;2020-09-11 23:56:41;TRUE;;1304569585530699777;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;robinmonotti;2;FALSE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 @alexdelaIglesia: “I’ve always been obsessed with horror and the concept of evil, especiall…;FALSE;0;;2020-09-11 23:52:57;FALSE;;1304568645167788038;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;johnylagentesta;9;TRUE;FALSE;;
RT @nomadlandfilm: see you down the road. 
#Nomadland, a film by Chloé Zhao starring Frances McDormand.
In theaters December 4.
#Venezia77…;FALSE;0;;2020-09-11 23:42:25;FALSE;;1304565995231744000;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Joscsl;573;TRUE;FALSE;;
RT @nomadlandfilm: see you down the road. 
#Nomadland, a film by Chloé Zhao starring Frances McDormand.
In theaters December 4.
#Venezia77…;FALSE;0;;2020-09-11 23:40:15;FALSE;;1304565451394027520;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;yoeddd;573;TRUE;FALSE;;
RT @fadetoher: Ahead of the premiere of #AnaRochadeSousa's 1st feature film, #Listen, in #Orizzonti at #Venezia77 we talk to leading actres…;FALSE;0;;2020-09-11 23:35:58;FALSE;;1304564370786127872;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;pauvaccaro;2;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 23:30:36;FALSE;;1304563019284963330;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;ImanovElshan;42;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 23:19:55;FALSE;;1304560332749320192;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;NerdenBaksanEdi;42;TRUE;FALSE;;
#Nomadland quietly devastating! Docu-drama with top Frances McDormand the best at #Venezia77;FALSE;0;;2020-09-11 23:10:47;FALSE;;1304558035076030465;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;kapenees;0;FALSE;FALSE;;
RT @ICSfilm: Marc van de Klashorst hits the road with the phenomenal Frances McDormand in Chloé Zhao's intimate NOMADLAND, a film about fin…;FALSE;0;;2020-09-11 23:06:51;FALSE;;1304557045044121600;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;wfcneto;6;TRUE;FALSE;;
RT @ICSfilm: Marc van de Klashorst hits the road with the phenomenal Frances McDormand in Chloé Zhao's intimate NOMADLAND, a film about fin…;FALSE;0;;2020-09-11 23:04:06;FALSE;;1304556351138541570;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;juandlago;6;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 23:03:27;FALSE;;1304556186524680196;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Shahmar_Rustam;42;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:55:14;FALSE;;1304554119970123785;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;asimilyano;42;TRUE;FALSE;;
RT @ineedrink: MARYNA SUL RED CARPET #Venezia77 https://t.co/S03nVcWSS9;FALSE;0;;2020-09-11 22:52:55;FALSE;;1304553537108668422;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;rosestobecky;3;TRUE;FALSE;;
RT @FilmUpdates: Tilda Swinton with an interesting choice for a mask at the 77th Venice Film Festival #Venezia77 https://t.co/X4VGY2fePm;FALSE;0;;2020-09-11 22:52:13;FALSE;;1304553363548311554;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;rosestobecky;172;TRUE;FALSE;;
RT @MastercardEU: Artistic Director of @La_Biennale Alberto Barbera on why cinema is here to stay. Watch the full conversation in our #Life…;FALSE;0;;2020-09-11 22:51:32;FALSE;;1304553191514738691;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;MastercardAUT;1;TRUE;FALSE;;
